CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.05.4432.01A.01R.1206.07	0	0.053	0.183	0.1	0.092	0.143	0.28	0.166	0.064	0.17	0.339	0.092	0.024	0.098	0.08	0.193	0.116	0.119	0.216	0.328	0.113	0.046	0.15	0.211	0.724
TCGA.05.4433.01A.22R.1858.07	0	0.048	0.194	0.078	0.091	0.094	0.288	0.119	0.063	0.153	0.374	0.094	0.04	0.045	0.123	0.22	0.093	0.177	0.337	0.307	0.124	0.03	0.174	0.161	0.796
TCGA.05.4434.01A.01R.1206.07	0	0.044	0.166	0.114	0.09	0.1	0.302	0.191	0.108	0.08	0.364	0.107	0.013	0.105	0.098	0.242	0.123	0.115	0.301	0.342	0.105	0.037	0.207	0.201	0.818
TCGA.05.5420.01A.01R.1628.07	0	0	0.24	0.113	0.177	0.128	0.324	0.21	0.067	0.039	0.379	0.091	0.042	0.069	0.136	0.253	0.13	0.149	0.359	0.363	0.086	0.072	0.1	0.242	0.841
TCGA.05.5423.01A.01R.1628.07	0	0.075	0.139	0.077	0.143	0.133	0.258	0.041	0.033	0.113	0.419	0.083	0.021	0.057	0.118	0.319	0.135	0.077	0.328	0.252	0.125	0.085	0.166	0.243	0.823
TCGA.05.5425.01A.02R.1628.07	0	0.045	0.219	0.121	0.112	0.104	0.326	0.181	0.058	0.132	0.398	0.093	0.024	0.044	0.082	0.224	0.094	0.138	0.29	0.359	0.112	0.082	0.127	0.221	0.782
TCGA.05.5428.01A.01R.1628.07	0	0.038	0.083	0.097	0.1	0.089	0.251	0.094	0.036	0.12	0.203	0.049	0.118	0.062	0.087	0.258	0.091	0.136	0.357	0.206	0.168	0.049	0.098	0.174	0.744
TCGA.05.5429.01A.01R.1628.07	0	0.08	0.156	0.014	0.083	0.115	0.155	0.047	0.186	0.216	0.32	0.129	0.086	0.064	0.123	0.14	0.089	0.087	0.145	0.207	0.117	0	0.16	0.142	0.543
TCGA.05.5715.01A.01R.1628.07	0	0.065	0.104	0.102	0.101	0.079	0.159	0.049	0.105	0.153	0.169	0.122	0	0.075	0.139	0.301	0.12	0.198	0.391	0.196	0.171	0.023	0.102	0.135	0.807
TCGA.35.3615.01A.01R.0946.07	0	0.042	0.096	0.112	0.083	0.131	0.254	0.17	0.093	0.204	0.289	0.064	0.101	0.02	0.111	0.251	0.106	0.12	0.259	0.288	0.121	0.054	0.124	0.199	0.734
TCGA.35.4122.01A.01R.1107.07	0	0	0.262	0.115	0.066	0.127	0.268	0.208	0.115	0.07	0.383	0.074	0.014	0.117	0.155	0.273	0.109	0.117	0.388	0.345	0.069	0.076	0.068	0.24	0.805
TCGA.35.4123.01A.01R.1107.07	0	0.045	0.241	0.146	0.061	0.093	0.307	0.208	0.091	0.091	0.406	0.088	0.039	0.038	0.093	0.206	0.073	0.112	0.289	0.346	0.055	0.128	0.134	0.253	0.734
