CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.A3.3357.01A.02R.1420.07	0	0	0.194	0.106	0.163	0.241	0.245	0.191	0.31	0.122	0.196	0.148	0.042	0.079	0.12	0.283	0.055	0.097	0.325	0.237	0.088	0.051	0.152	0.144	0.737
TCGA.A3.3358.01A.01R.1541.07	0	0.022	0.242	0.082	0.184	0.229	0.291	0.165	0.295	0.115	0.317	0.164	0	0.134	0.147	0.246	0.083	0.069	0.298	0.279	0.057	0.07	0.2	0.193	0.759
TCGA.A3.3358.11A.01R.1541.07	0	0.056	0.125	0.052	0.112	0.126	0.117	0.074	0.445	0.212	0.133	0.06	0.028	0.142	0.139	0.095	0.074	0.062	0.14	0.283	0.191	0.037	0.181	0.084	0.592
TCGA.A3.3359.01A.01R.0864.07	0	0	0.218	0.108	0.155	0.22	0.217	0.188	0.366	0.105	0.289	0.169	0	0.131	0.092	0.174	0.105	0.078	0.265	0.291	0.102	0.082	0.198	0.164	0.734
TCGA.A3.3362.01A.02R.1325.07	0	0.03	0.201	0.047	0.152	0.201	0.223	0.097	0.41	0.14	0.224	0.14	0	0.101	0.099	0.173	0.083	0.114	0.259	0.277	0.137	0.069	0.213	0.128	0.738
TCGA.A3.3363.01A.01R.0864.07	0	0	0.145	0.049	0.076	0.13	0.121	0.116	0.436	0.162	0.252	0.064	0	0.055	0.213	0.272	0.071	0.158	0.348	0.252	0.151	0.068	0.202	0.12	0.84
TCGA.A3.3365.01A.01R.0864.07	0	0.024	0.241	0.024	0.146	0.198	0.215	0.115	0.406	0.139	0.324	0.162	0	0.115	0.181	0.208	0.081	0.091	0.208	0.335	0.092	0.066	0.22	0.142	0.735
TCGA.A3.3367.01A.02R.1420.07	0	0.008	0.235	0.044	0.171	0.188	0.232	0.119	0.39	0.148	0.236	0.145	0	0.092	0.15	0.217	0.085	0.125	0.266	0.354	0.128	0.068	0.18	0.096	0.773
TCGA.A3.3370.01A.02R.1420.07	0	0.018	0.193	0.095	0.166	0.217	0.288	0.218	0.353	0.11	0.295	0.152	0	0.131	0.087	0.173	0.087	0.085	0.243	0.256	0.082	0.065	0.223	0.159	0.697
TCGA.A3.3372.01A.02R.1325.07	0	0.018	0.23	0.051	0.164	0.214	0.263	0.196	0.369	0.174	0.239	0.143	0.005	0.107	0.117	0.172	0.074	0.126	0.238	0.324	0.095	0.08	0.195	0.128	0.72
