CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.CH.5754.01A.11R.1580.07	0	0	0.323	0.109	0.152	0.107	0.243	0.27	0.281	0.06	0.322	0.113	0.04	0.072	0.204	0.156	0.096	0.085	0.184	0.346	0.073	0.059	0.16	0.154	0.754
TCGA.CH.5761.01A.11R.1580.07	0.002	0.054	0.164	0.066	0.201	0.023	0.06	0.074	0.153	0.108	0.101	0.1	0	0.055	0.279	0.223	0.091	0.191	0.312	0.107	0.147	0	0.083	0.068	0.734
TCGA.CH.5761.11A.01R.1580.07	0.013	0.018	0.22	0.069	0.13	0.127	0.164	0.063	0.28	0.16	0.283	0.019	0.047	0.149	0.149	0.045	0.086	0.09	0.094	0.309	0.135	0.068	0.148	0.153	0.637
TCGA.CH.5762.01A.11R.1580.07	0	0.03	0.255	0.044	0.135	0.104	0.211	0.135	0.294	0.116	0.372	0.125	0.015	0.077	0.22	0.124	0.1	0.055	0.164	0.309	0.072	0.08	0.17	0.155	0.69
TCGA.CH.5763.01A.11R.1580.07	0.014	0.023	0.222	0.105	0.099	0.105	0.175	0.092	0.311	0.119	0.19	0.048	0.038	0.139	0.161	0.111	0.032	0.092	0.203	0.341	0.104	0.067	0.131	0.103	0.671
TCGA.CH.5764.01A.21R.1580.07	0.022	0.005	0.299	0.114	0.104	0.125	0.195	0.172	0.28	0.153	0.217	0.069	0.023	0.071	0.118	0.1	0.077	0.099	0.145	0.306	0.126	0.063	0.129	0.129	0.667
TCGA.CH.5765.01A.11R.1580.07	0.004	0.005	0.18	0.034	0.027	0.142	0.116	0.121	0.286	0.178	0.16	0.02	0.042	0.113	0.169	0.13	0.076	0.143	0.168	0.251	0.157	0.047	0.067	0.1	0.657
TCGA.CH.5766.01A.11R.1580.07	0	0	0.235	0.096	0.139	0.093	0.248	0.191	0.264	0.12	0.364	0.11	0.062	0.038	0.196	0.101	0.088	0.019	0.123	0.272	0.095	0.057	0.197	0.141	0.623
TCGA.CH.5767.01A.11R.1789.07	0.007	0.016	0.174	0.098	0.076	0.095	0.19	0.081	0.164	0.182	0.168	0.04	0.028	0.103	0.114	0.092	0.042	0.104	0.159	0.195	0.165	0.033	0.088	0.096	0.565
TCGA.CH.5767.11B.01R.1789.07	0	0.02	0.252	0.11	0.103	0.105	0.181	0.132	0.236	0.129	0.333	0.041	0.029	0.135	0.172	0.075	0.05	0.067	0.138	0.364	0.107	0.055	0.185	0.111	0.66
TCGA.CH.5768.01A.11R.1580.07	0.012	0.018	0.231	0.095	0.03	0.112	0.159	0.094	0.256	0.169	0.197	0.074	0	0.048	0.212	0.125	0.061	0.125	0.18	0.22	0.141	0.052	0.096	0.133	0.65
TCGA.CH.5768.11A.01R.1580.07	0.039	0.045	0.192	0.046	0	0.049	0.077	0.08	0.235	0.16	0.092	0.024	0	0.152	0.175	0.037	0.078	0.07	0.057	0.309	0.17	0.052	0.079	0.133	0.56
TCGA.CH.5769.01A.11R.1580.07	0	0.042	0.204	0.103	0.095	0.106	0.216	0.153	0.347	0.142	0.163	0.041	0.048	0.095	0.141	0.161	0.049	0.108	0.167	0.27	0.122	0.059	0.1	0.139	0.67
TCGA.CH.5769.11A.01R.1580.07	0	0.038	0.231	0.088	0.106	0.078	0.177	0.206	0.329	0.147	0.186	0.038	0.043	0.121	0.139	0.148	0.061	0.114	0.153	0.248	0.13	0.049	0.109	0.14	0.662
TCGA.CH.5771.01A.21R.1580.07	0	0	0.276	0.071	0.13	0.091	0.178	0.114	0.283	0.118	0.333	0.096	0.005	0.157	0.172	0.144	0.067	0.113	0.271	0.361	0.094	0.055	0.184	0.127	0.818
TCGA.CH.5772.01A.11R.1580.07	0	0.004	0.218	0.128	0.056	0.087	0.137	0.2	0.329	0.128	0.199	0.066	0.085	0.058	0.189	0.118	0.041	0.102	0.164	0.292	0.133	0.051	0.079	0.149	0.648
TCGA.CH.5788.01A.11R.1580.07	0.005	0.039	0.133	0	0.142	0.122	0.213	0.108	0.134	0.147	0.049	0.035	0	0.055	0.136	0.203	0.097	0.172	0.279	0.089	0.175	0	0.042	0.133	0.715
