sig,ensembl_id,gene_name,gene_id,rho,pval
up,ENSG00000119888,EPCAM,4072,-0.36443409478443783,1.7028003209453817e-17
up,ENSG00000124766,SOX4,6659,-0.3051290763790045,1.7962896370772007e-12
up,ENSG00000137274,BPHL,670,-0.3012254305520968,3.5306263043434815e-12
up,ENSG00000139835,GRTP1,79774,-0.3070201929007255,1.290083070118257e-12
up,ENSG00000162851,TFB2M,64216,-0.3624983703067175,2.5859183501049376e-17
up,ENSG00000163468,CCT3,7203,-0.34314674649171234,1.4449586857637402e-15
up,ENSG00000182004,SNRPE,6635,-0.3502837496454024,3.3840090853940616e-16
up,ENSG00000233822,HIST1H2BN,8341,-0.3184484184667641,1.6580399366448846e-13
