CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.BA.A4II.01A.11R.A266.07	0	0.08	0.353	0.09	0.176	0.133	0.138	0.222	0.11	0.14	0.235	0.087	0.045	0.05	0.249	0.197	0.064	0.146	0.176	0.257	0.211	0.013	0.138	0.249	0.754
TCGA.BA.A6D8.01A.31R.A31N.07	0	0.099	0.27	0.086	0.122	0	0	0.078	0.291	0.179	0.127	0	0.007	0.124	0.257	0.181	0.113	0.212	0.247	0.218	0.189	0.076	0.131	0.198	0.781
TCGA.BA.A6DA.01A.31R.A31N.07	0	0	0.376	0.139	0.069	0.072	0.019	0.266	0.187	0.21	0.128	0	0.069	0.102	0.243	0.16	0.08	0.148	0.155	0.34	0.233	0.035	0.091	0.28	0.78
TCGA.BA.A6DB.01A.11R.A30B.07	0	0.048	0.408	0.074	0.141	0.055	0.203	0.211	0.108	0.136	0.366	0.093	0	0.139	0.255	0.209	0.078	0.077	0.176	0.272	0.044	0.176	0.191	0.367	0.742
TCGA.BA.A6DD.01A.12R.A31N.07	0	0.055	0.4	0.125	0.155	0.073	0.092	0.272	0.196	0.098	0.311	0.107	0.047	0.042	0.262	0.191	0.096	0.139	0.158	0.261	0.113	0.114	0.155	0.267	0.724
TCGA.BA.A6DE.01A.22R.A31N.07	0	0.076	0.273	0.096	0.065	0.077	0.154	0.205	0.151	0.195	0.201	0.051	0.094	0.05	0.145	0.177	0.074	0.098	0.047	0.172	0.207	0.113	0.09	0.238	0.579
TCGA.BA.A6DG.01A.21R.A30B.07	0	0.115	0.395	0.023	0.155	0.081	0.187	0.126	0.229	0.161	0.164	0.073	0.014	0.122	0.235	0.191	0.002	0.217	0.263	0.261	0.168	0.054	0.168	0.198	0.769
TCGA.BA.A6DI.01A.11R.A30B.07	0.009	0.086	0.219	0.065	0.067	0.081	0.145	0.172	0.127	0.227	0.165	0.032	0.064	0.066	0.275	0.146	0.07	0.109	0.044	0.154	0.189	0.064	0.149	0.213	0.564
TCGA.BA.A6DJ.01A.11R.A30B.07	0	0.082	0.439	0.11	0.124	0.128	0.174	0.275	0.172	0.147	0.218	0.047	0.046	0.051	0.176	0.209	0.033	0.083	0.173	0.307	0.155	0.075	0.098	0.269	0.697
TCGA.BA.A6DL.01A.21R.A30B.07	0	0.066	0.285	0.107	0.091	0.068	0.056	0.231	0.255	0.195	0.123	0.041	0.104	0.086	0.198	0.079	0.12	0.065	0.013	0.243	0.182	0.077	0.126	0.25	0.565
TCGA.BA.A8YP.01A.11R.A39I.07	0.016	0.105	0.135	0.021	0.211	0.061	0.17	0.068	0.07	0.172	0.14	0.041	0	0.15	0.128	0.262	0.08	0.205	0.285	0.052	0.15	0.032	0.141	0.103	0.671
TCGA.BB.4217.01A.11R.2081.07	0	0.077	0.337	0.041	0.243	0.072	0.176	0.157	0.22	0.097	0.399	0.184	0	0	0.279	0.063	0.272	0.042	0.013	0.253	0.051	0.102	0.247	0.307	0.655
TCGA.BB.4223.01A.01R.1436.07	0	0.081	0.419	0.118	0.184	0.12	0.235	0.253	0.145	0.079	0.354	0.169	0.022	0	0.128	0.136	0.167	0.135	0.121	0.237	0.08	0.124	0.19	0.285	0.708
TCGA.BB.4224.01A.01R.1436.07	0	0.141	0.243	0.091	0.129	0.071	0.012	0.157	0.061	0.105	0.077	0.007	0.059	0.055	0.224	0.246	0.145	0.235	0.234	0.065	0.177	0.046	0.064	0.185	0.709
TCGA.BB.4225.01A.01R.1436.07	0	0.015	0.442	0.062	0.173	0.14	0.242	0.212	0.204	0.172	0.387	0.128	0	0	0.09	0.194	0.121	0.069	0.131	0.27	0.081	0.205	0.183	0.31	0.713
TCGA.BB.4227.01A.01R.1873.07	0	0.012	0.285	0.065	0.18	0.15	0.115	0.049	0.169	0.164	0.094	0.027	0.042	0.098	0.233	0.247	0.051	0.194	0.234	0.152	0.228	0.046	0.094	0.155	0.71
TCGA.BB.4228.01A.01R.1436.07	0	0.09	0.375	0.098	0.174	0.109	0.193	0.199	0.229	0.122	0.255	0.065	0.03	0.004	0.127	0.216	0.096	0.15	0.197	0.144	0.144	0.12	0.082	0.225	0.657
TCGA.BB.7861.01A.11R.2232.07	0	0.034	0.413	0.161	0.214	0.07	0.176	0.236	0.145	0.146	0.351	0.139	0.002	0.002	0.212	0.207	0.166	0.063	0.21	0.275	0.058	0.141	0.2	0.311	0.782
TCGA.BB.7862.01A.21R.2232.07	0	0.121	0.293	0.058	0.167	0.113	0.154	0.091	0.21	0.196	0.091	0.079	0	0.022	0.23	0.211	0.064	0.272	0.226	0.142	0.175	0.046	0.119	0.18	0.729
TCGA.BB.7863.01A.11R.2232.07	0	0.106	0.279	0.076	0.136	0.116	0.136	0.155	0.044	0.233	0.059	0.02	0.042	0.078	0.203	0.225	0.056	0.122	0.109	0.175	0.236	0.033	0.092	0.179	0.626
TCGA.BB.7864.01A.11R.2232.07	0	0.111	0.239	0.032	0.106	0.091	0.086	0.111	0.188	0.195	0.047	0.058	0.014	0	0.239	0.173	0.15	0.115	0.053	0.145	0.203	0.098	0.027	0.226	0.573
TCGA.BB.7866.01A.11R.2232.07	0	0.088	0.369	0.119	0.2	0.111	0.153	0.246	0.141	0.1	0.294	0.138	0.034	0.017	0.153	0.193	0.162	0.186	0.226	0.181	0.127	0.107	0.148	0.228	0.761
TCGA.BB.7870.01A.11R.2232.07	0	0.057	0.336	0.114	0.081	0.121	0.109	0.215	0.174	0.209	0.182	0.005	0.064	0.013	0.197	0.145	0.102	0.063	0.022	0.173	0.154	0.144	0.059	0.332	0.551
TCGA.BB.7871.01A.11R.2232.07	0	0.119	0.281	0.05	0.175	0.09	0.073	0.122	0.307	0.157	0.066	0.065	0	0.104	0.184	0.31	0.061	0.211	0.273	0.095	0.113	0.093	0.1	0.236	0.734
TCGA.BB.7872.01A.11R.2232.07	0	0.058	0.339	0.124	0.152	0.155	0.189	0.249	0.228	0.057	0.118	0.022	0.085	0.059	0.206	0.245	0.058	0.067	0.152	0.214	0.148	0.045	0.104	0.285	0.668
TCGA.BB.8596.01A.11R.2403.07	0	0.095	0.298	0.051	0.182	0.076	0.198	0.072	0.18	0.168	0.26	0.089	0	0.106	0.227	0.242	0.068	0.224	0.295	0.239	0.079	0.069	0.217	0.197	0.819
TCGA.BB.8601.01A.11R.2403.07	0	0.088	0.084	0.005	0.099	0.062	0.001	0.106	0.218	0.185	0.126	0.087	0.047	0.038	0.194	0.078	0.125	0.102	0.039	0.162	0.208	0.07	0.104	0.156	0.511
TCGA.BB.A5HU.01A.11R.A28V.07	0.013	0.127	0.258	0.057	0.173	0.106	0.168	0.125	0.033	0.19	0.11	0.063	0.007	0.095	0.236	0.184	0.046	0.2	0.178	0.09	0.167	0.013	0.137	0.219	0.64
