CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.5C.AAPD.01A.21R.A39D.07	0	0.027	0.206	0.121	0.223	0.102	0.169	0.299	0.28	0.122	0.295	0.057	0	0.111	0.241	0.236	0.133	0.134	0.288	0.286	0.091	0.064	0.112	0.304	0.834
TCGA.5R.AA1C.01A.11R.A41C.07	0	0.087	0.163	0.054	0.16	0.102	0.215	0.233	0.258	0.217	0.105	0.039	0.014	0.054	0.279	0.181	0.034	0.123	0.234	0.152	0.218	0.024	0.036	0.182	0.612
TCGA.5R.AA1D.01A.11R.A38B.07	0.059	0.164	0.17	0	0.22	0.049	0.217	0.157	0.394	0.105	0.299	0.106	0	0.026	0.347	0.167	0.057	0.164	0.26	0.262	0.124	0.034	0.174	0.159	0.721
TCGA.5R.AAAM.01A.12R.A41C.07	0.028	0.084	0.19	0.024	0.201	0.049	0.157	0.17	0.398	0.174	0.317	0.068	0	0.036	0.314	0.185	0.045	0.205	0.361	0.281	0.168	0.053	0.131	0.137	0.798
TCGA.BC.4072.01B.11R.A155.07	0.02	0.102	0.197	0.094	0.215	0.139	0.267	0.294	0.372	0.131	0.253	0.086	0	0.044	0.194	0.224	0.067	0.182	0.226	0.247	0.131	0.048	0.159	0.2	0.757
TCGA.BC.4073.01B.02R.A131.07	0.014	0.104	0.166	0.098	0.238	0.197	0.277	0.291	0.402	0.036	0.264	0.136	0	0.07	0.23	0.261	0.103	0.136	0.274	0.248	0.144	0.001	0.11	0.199	0.778
TCGA.BC.A10Q.01A.11R.A131.07	0.026	0.134	0.12	0	0.184	0.118	0.166	0.123	0.35	0.191	0.191	0.08	0	0.021	0.199	0.199	0.065	0.208	0.192	0.087	0.206	0	0.147	0.145	0.658
TCGA.BC.A10Q.11A.11R.A131.07	0.039	0.104	0.137	0.041	0.088	0.044	0.163	0.162	0.41	0.235	0.301	0.062	0	0.001	0.287	0.127	0.024	0.201	0.271	0.223	0.196	0.021	0.075	0.144	0.666
TCGA.BC.A10R.01A.11R.A131.07	0	0.128	0.051	0	0.241	0.038	0.122	0.061	0.341	0.22	0.103	0.007	0	0.118	0.234	0.174	0.107	0.23	0.257	0.22	0.206	0	0.058	0.074	0.699
TCGA.BC.A10R.11A.11R.A131.07	0.03	0.075	0.154	0.041	0.063	0.078	0.246	0.192	0.415	0.189	0.274	0.005	0	0.022	0.263	0.158	0.041	0.227	0.406	0.256	0.225	0.047	0.056	0.147	0.799
