"","daunorubicin","alvocidib","mitoxantrone","epirubicin","idarubicin","JNJ-7706621","bortezomib","panobinostat","MG-132","YM-155","doxorubicin","TP-0903","PF-562271","PHA-793887","BRD-A19037878","ponatinib","withaferin-a","dinaciclib","BRD-K76674262","R-547","BMS-387032","WZ-3105","A-443654","PIK-75","triptolide","camptothecin","CGP-60474","alsterpaullone","ceritinib","OTS-167","celastrol","LDN-193189","CGS-15943","RITA","pacritinib","defactinib","ABT-737","CHIR-124","staurosporine","nepafenac","oxypurinol","tizanidine","wortmannin","AZD-5438","BRD-A36275421","anguidine","BRD-K98645985","API-001","AT-7519","mitomycin-c","digoxin","AS-601245","BIX-01294","tacrine"
"BLCA",2.28105064840878,2.29799609464758,1.65324192207401,2.42402657266825,2.18952171261571,0,1.86865782473268,0,4.14598267499138,2.12175014720244,0,2.90778442940592,2.01753399632558,0,0,1.82544209456243,0,0,0,0,0,0,0,0,0,2.31232656270516,0,0,0,0,0,0,0,0,0,0,0,1.59527423762474,0,0,0,0,0,0,0,0,0,1.77106305290671,0,2.18303883656734,5.39118643367992,0,0,2.8008803744276
"BRCA",2.09976975245019,2.01089644105467,2.15125500979489,1.97684435197752,2.28201565559596,1.7232685350392,2.10347105705575,2.42158302150361,2.01867697510001,2.15877293234002,1.92656871181645,2.48046506620433,1.67792338541109,1.84293980010568,2.07699382259421,2.37427604361756,1.98308472463529,1.86343834027852,1.90881850569216,1.67446605421092,1.66560236620576,2.13630397594138,1.82976352012321,0,1.7154498366787,1.9402827322973,2.13526284550967,0,3.21694753150417,1.91662144491117,1.66321981443118,1.62467598588499,2.15927296102863,1.90746968569821,1.89765611753072,2.9963947452911,0,0,0,4.18751018994475,1.63414649290581,4.49702531997472,2.45404709535102,0,0,0,2.29289875291798,0,2.09875869479898,0,0,1.96678375975726,2.60053224485214,0
"COAD",1.93187582519531,2.32498104117257,2.04785336966378,2.37528121102469,2.72730518973214,3.01423461914063,1.82541304774693,2.8876053641183,1.82728782496861,0,2.42780523773193,3.57509638323103,0,2.24689354165213,2.03487006487165,2.55194235028948,2.187686597726,2.10774325997489,1.67976061139788,1.92487961242676,2.42817233346122,2.08258208783831,2.01042522321429,2.09331851981027,2.01098332554408,0,2.66765180973598,2.61425691441127,2.62871684919085,0,0,2.72332891845703,1.86550013950893,2.31209272112165,0,0,0,0,2.6255829976981,0,2.11992478986468,0,1.71727200753348,1.80596444266183,2.11146663504464,1.8347126726423,0,2.26496438162667,0,0,0,1.73057406180246,0,4.59978731863839
"HNSC",2.61123182715439,2.85370230674744,1.86569516251727,2.60647730338864,3.0322293537419,2.11961727607541,2.03477536957438,1.7779682438548,1.7947798606826,1.62976823201994,0,0,0,1.59227564276719,0,2.27571465329426,0,0,2.33507810569391,0,0,0,0,0,0,0,0,0,3.05608793584312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89487916562615,0,0,0,0,1.69384895882955,0,0,0
"KIRC",2.14039166768392,2.46938339869181,1.8895583152771,1.916641553243,0,1.77247492472331,0,2.53721650441488,2.21953350861867,2.30655829111735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13646666208903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIHC",1.98630691017803,2.08633235661957,1.68377042919287,1.60619005394691,1.94771533384642,0,1.64769920717828,0,0,0,1.87091590058848,0,1.65254398615387,0,1.72547382482366,0,1.76240519697338,0,0,0,0,0,0,1.63325572783176,0,0,0,1.64435438418477,0,0,0,0,0,1.84290299539672,0,0,0,2.05371524853334,0,0,0,0,0,0,0,0,0,0,0,1.77972270299068,0,0,1.73369550173167,0
"LUAD",2.69686332081258,2.67396835786104,2.22618576124311,2.69952422849834,2.85979625943303,2.13747680020332,1.94623848804832,1.83839095623791,1.88711042553186,2.97201908092201,2.21108886122704,3.06116116195917,3.59019156882167,2.89984415894747,1.83952945299447,2.78111424469948,2.59313941001892,3.20516082859039,2.11461847966909,2.9605990049243,2.05262942400575,1.94538718438148,2.13861139118671,2.93268361926079,2.42379362493753,2.46060680520535,2.36946980684996,2.91909629702568,3.82882586818934,2.56768682685494,2.14011146150529,2.20619213414192,1.79665733724833,0,3.51452626672387,1.69376325594634,2.83536438941956,4.06703047353029,2.54750829747319,2.63233184814453,3.65354808568954,1.64437193274498,0,3.13508693110943,2.03979754538834,2.17318088391423,1.73175589740276,3.95494216680527,3.07927572533488,2.16523078322411,2.15971380740404,1.61360676288605,2.53037413573265,4.98918365240097
"PRAD",2.37462366739909,2.28028399688226,1.94424429434317,2.09852141203704,1.93628588782416,1.69530199006752,0,2.25100036903664,0,0,1.86297000743725,2.07143313655147,1.57267323246709,2.3725902416088,2.04074956929242,0,3.81408336427477,2.40939834029586,0,2.08196557548311,2.10982971756547,2.10947024592647,1.72229128660979,1.8903779051922,1.91923192059552,2.15900975262677,1.9314055690059,1.73917703416612,0,1.83147260877821,2.60289261076185,0,0,0,1.97573553862395,1.73142129403574,1.60221113982024,0,1.94444698757596,1.78669908311632,0,3.66585371229384,1.79315453988534,1.89055042831986,1.60062408447266,0,1.68135918511285,0,1.76380481578686,0,0,0,0,0
