CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.A2.A04R.01A.41R.A109.07	0	0.076	0.312	0.018	0.073	0.023	0.033	0.171	0.282	0.123	0.184	0.067	0	0.072	0.245	0.117	0.1	0.246	0.187	0.17	0.257	0.06	0.083	0.141	0.593
TCGA.A2.A04T.01A.21R.A034.07	0	0.068	0.496	0.146	0.039	0.114	0.235	0.331	0.553	0	0.402	0.101	0.018	0	0.147	0.196	0.082	0.184	0.246	0.341	0.182	0.07	0.115	0.256	0.73
TCGA.A2.A04U.01A.11R.A115.07	0	0.017	0.362	0.073	0.034	0.1	0.076	0.179	0.42	0.101	0.121	0	0.034	0.09	0.254	0.128	0.126	0.265	0.225	0.192	0.263	0.101	0.034	0.203	0.655
TCGA.A2.A04V.01A.21R.A034.07	0	0.092	0.332	0.002	0.014	0.039	0.08	0.152	0.563	0.142	0.275	0.039	0.038	0.058	0.313	0.208	0.063	0.253	0.26	0.266	0.186	0.108	0.143	0.201	0.72
TCGA.A2.A04W.01A.31R.A115.07	0	0.09	0.394	0.066	0.035	0.101	0.13	0.134	0.532	0.163	0.28	0.043	0.025	0	0.194	0.152	0.085	0.258	0.262	0.242	0.215	0.015	0.134	0.143	0.679
TCGA.A2.A04X.01A.21R.A034.07	0	0.026	0.491	0.12	0.016	0.056	0.18	0.35	0.408	0.113	0.453	0.15	0.055	0	0.164	0.161	0.113	0.156	0.238	0.343	0.144	0.118	0.136	0.283	0.717
TCGA.A2.A04Y.01A.21R.A034.07	0	0.071	0.464	0.041	0.03	0.059	0.171	0.229	0.428	0.097	0.447	0.128	0.024	0.022	0.191	0.1	0.071	0.203	0.282	0.256	0.169	0.109	0.203	0.24	0.695
TCGA.A2.A0CK.01A.11R.A22K.07	0	0.057	0.444	0.047	0.003	0.034	0.042	0.242	0.511	0.13	0.525	0.092	0.038	0.083	0.191	0.108	0.06	0.147	0.176	0.357	0.176	0.136	0.158	0.286	0.669
TCGA.A2.A0CL.01A.11R.A115.07	0	0.05	0.479	0.126	0.116	0.074	0.263	0.303	0.353	0	0.521	0.143	0	0.057	0.141	0.071	0.183	0.124	0.202	0.307	0.105	0.125	0.21	0.269	0.67
TCGA.A2.A0CM.01A.31R.A034.07	0	0.044	0.504	0.106	0.051	0.099	0.223	0.352	0.472	0.013	0.413	0.109	0.072	0.089	0.064	0.13	0.118	0.187	0.258	0.295	0.185	0.091	0.144	0.24	0.708
TCGA.A2.A0CO.01A.13R.A22K.07	0	0.05	0.469	0.052	0.06	0.048	0.202	0.213	0.443	0.118	0.573	0.127	0	0.063	0.173	0.069	0.114	0.13	0.174	0.368	0.135	0.112	0.24	0.26	0.679
TCGA.A2.A0CP.01A.11R.A034.07	0	0.072	0.384	0.014	0	0.057	0.098	0.181	0.536	0.153	0.341	0.059	0.04	0.136	0.168	0.084	0.059	0.215	0.2	0.294	0.225	0.112	0.172	0.177	0.65
TCGA.A2.A0CQ.01A.21R.A034.07	0	0.065	0.368	0.055	0.005	0.059	0.081	0.174	0.523	0.134	0.337	0.024	0.055	0.022	0.156	0.11	0.058	0.217	0.314	0.218	0.239	0.077	0.169	0.191	0.691
TCGA.A2.A0CR.01A.11R.A22K.07	0	0.026	0.534	0.132	0.013	0.08	0.101	0.31	0.48	0.025	0.572	0.085	0	0.028	0.197	0.101	0.195	0.058	0.187	0.442	0.077	0.158	0.201	0.385	0.75
TCGA.A2.A0CS.01A.11R.A115.07	0	0.106	0.305	0.046	0.058	0.112	0.129	0.132	0.309	0.157	0.182	0.05	0.015	0.144	0.148	0.232	0.039	0.226	0.266	0.149	0.196	0.108	0.123	0.204	0.653
TCGA.A2.A0CT.01A.31R.A056.07	0	0.096	0.319	0.045	0.047	0.104	0.153	0.071	0.462	0.201	0.116	0.021	0	0	0.159	0.169	0.092	0.214	0.251	0.153	0.263	0.057	0.024	0.201	0.622
TCGA.A2.A0CU.01A.12R.A034.07	0	0.109	0.401	0.04	0.03	0.047	0.047	0.16	0.562	0.139	0.338	0.069	0.012	0.054	0.182	0.095	0.111	0.203	0.186	0.272	0.223	0.066	0.153	0.192	0.654
TCGA.A2.A0CV.01A.31R.A115.07	0	0.057	0.448	0.072	0.007	0.035	0.063	0.274	0.507	0.109	0.487	0.098	0.015	0.097	0.172	0.123	0.084	0.113	0.201	0.334	0.16	0.153	0.182	0.226	0.648
TCGA.A2.A0CW.01A.21R.A115.07	0	0.084	0.417	0.048	0.023	0.099	0.181	0.277	0.399	0.097	0.318	0.116	0.049	0	0.228	0.156	0.147	0.207	0.221	0.206	0.249	0.066	0.108	0.18	0.671
TCGA.A2.A0CX.01A.21R.A00Z.07	0	0.072	0.456	0.089	0.035	0.098	0.186	0.252	0.409	0.123	0.346	0.1	0.031	0.032	0.179	0.159	0.061	0.251	0.284	0.207	0.228	0.054	0.129	0.198	0.691
TCGA.A2.A0CY.01A.12R.A034.07	0	0.136	0.35	0.031	0.013	0	0	0.089	0.305	0.133	0.178	0	0	0.022	0.137	0.116	0.113	0.246	0.145	0.144	0.306	0.03	0.083	0.204	0.618
TCGA.A2.A0CZ.01A.11R.A034.07	0	0.06	0.436	0.054	0.059	0.052	0.144	0.196	0.516	0.117	0.498	0.138	0.01	0.052	0.168	0.131	0.057	0.201	0.205	0.332	0.155	0.103	0.181	0.255	0.692
TCGA.A2.A0D0.01A.11R.A00Z.07	0	0	0.524	0.171	0	0.164	0.076	0.355	0.601	0.046	0.358	0.005	0.052	0.056	0.145	0.191	0.117	0.17	0.224	0.339	0.205	0.092	0.089	0.248	0.721
